,cand_name,cid,cycle,last_updated,industry_code0,industry_name0,indivs0,pacs0,total0,industry_code1,industry_name1,indivs1,pacs1,total1,industry_code2,industry_name2,indivs2,pacs2,total2,industry_code3,industry_name3,indivs3,pacs3,total3,industry_code4,industry_name4,indivs4,pacs4,total4,industry_code5,industry_name5,indivs5,pacs5,total5,industry_code6,industry_name6,indivs6,pacs6,total6,industry_code7,industry_name7,indivs7,pacs7,total7,industry_code8,industry_name8,indivs8,pacs8,total8,industry_code9,industry_name9,indivs9,pacs9,total9
62,Shelley Moore Capito,N00009771,2020,03/22/2021,W06,Retired,540745,0,540745,Q03,Leadership PACs,0,412000,412000,F07,Securities & Investment,295482,48089,343571,E01,Oil & Gas,78264,173500,251764,K01,Lawyers/Law Firms,152775,78250,231025,H01,Health Professionals,58570,114500,173070,F10,Real Estate,121960,48000,169960,F09,Insurance,24203,130500,154703,E08,Electric Utilities,59545,85500,145045,N13,Chemical & Related Manufacturing,26920,118000,144920
63,Salud Carbajal,N00037015,2020,03/22/2021,W06,Retired,247400,0,247400,Q02,Democratic/Liberal,228910,12000,240910,F10,Real Estate,77134,7000,84134,K01,Lawyers/Law Firms,65575,10000,75575,P03,Transportation Unions,0,68750,68750,W04,Education,52926,0,52926,P04,Public Sector Unions,0,50500,50500,M01,Air Transport,5800,39200,45000,F07,Securities & Investment,41965,1000,42965,B02,TV/Movies/Music,40960,2000,42960
64,Tony Cardenas,N00033373,2020,03/22/2021,H04,Pharmaceuticals/Health Products,17085,127650,144735,H03,Health Services/HMOs,23370,92500,115870,H01,Health Professionals,3361,76000,79361,K01,Lawyers/Law Firms,33293,21500,54793,E08,Electric Utilities,5,53000,53005,F10,Real Estate,22058,22500,44558,F09,Insurance,1585,37000,38585,B09,Telecom Services,0,38500,38500,Q05,Pro-Israel,37450,1000,38450,P04,Public Sector Unions,0,37500,37500
65,Ben Cardin,N00001955,2020,03/22/2021,F09,Insurance,88735,234500,323235,K01,Lawyers/Law Firms,230271,76968,307239,H01,Health Professionals,111329,194500,305829,F07,Securities & Investment,169697,128000,297697,F10,Real Estate,230783,60500,291283,W06,Retired,179237,0,179237,Q05,Pro-Israel,131600,38700,170300,Q03,Leadership PACs,0,167000,167000,F13,Misc Finance,108661,30000,138661,K02,Lobbyists,136955,1000,137955
66,Tom Carper,N00012508,2020,03/22/2021,F09,Insurance,122723,263000,385723,F07,Securities & Investment,157706,143500,301206,H04,Pharmaceuticals/Health Products,50885,233200,284085,K01,Lawyers/Law Firms,164553,93730,258283,Q03,Leadership PACs,0,229500,229500,K02,Lobbyists,165661,5500,171161,F03,Commercial Banks,40129,117600,157729,N13,Chemical & Related Manufacturing,48146,103210,151356,W06,Retired,150099,0,150099,H01,Health Professionals,24195,111680,135875
67,Andre Carson,N00029513,2020,03/22/2021,K01,Lawyers/Law Firms,46477,11000,57477,M01,Air Transport,0,55000,55000,F10,Real Estate,40623,12500,53123,P03,Transportation Unions,0,47000,47000,P01,Building Trade Unions,0,46000,46000,H01,Health Professionals,36993,5000,41993,Q02,Democratic/Liberal,39342,1000,40342,P02,Industrial Unions,0,37000,37000,P04,Public Sector Unions,0,30000,30000,H04,Pharmaceuticals/Health Products,11487,15000,26487
68,Buddy Carter,N00035346,2020,03/22/2021,H01,Health Professionals,71308,187687,258995,H04,Pharmaceuticals/Health Products,8200,177000,185200,W06,Retired,110279,0,110279,A01,Crop Production & Basic Processing,50475,43500,93975,N03,Retail Sales,48147,41000,89147,E01,Oil & Gas,6080,54500,60580,Q03,Leadership PACs,0,60500,60500,F09,Insurance,13696,40300,53996,A10,Forestry & Forest Products,15905,37500,53405,B09,Telecom Services,1750,50000,51750
69,John Carter,N00025095,2020,03/22/2021,W06,Retired,215842,0,215842,Q03,Leadership PACs,0,209646,209646,F10,Real Estate,149485,17000,166485,K01,Lawyers/Law Firms,67565,15250,82815,Q16,Candidate Committees,0,76700,76700,F03,Commercial Banks,42329,23500,65829,E01,Oil & Gas,32981,31000,63981,M02,Automotive,33836,19000,52836,F07,Securities & Investment,44068,7500,51568,K02,Lobbyists,50080,0,50080
70,Matt Cartwright,N00034128,2020,03/22/2021,K01,Lawyers/Law Firms,741379,21750,763129,Q03,Leadership PACs,23801,232602,256403,F07,Securities & Investment,233394,6000,239394,Q02,Democratic/Liberal,183083,44282,227365,W06,Retired,190837,0,190837,Q16,Candidate Committees,7000,114452,121452,H01,Health Professionals,58570,28000,86570,P04,Public Sector Unions,504,84000,84504,P01,Building Trade Unions,30,79500,79530,W04,Education,70122,500,70622
71,Ed Case,N00025882,2020,03/22/2021,Q02,Democratic/Liberal,17600,20000,37600,N08,Lodging/Tourism,3500,32000,35500,W06,Retired,27047,0,27047,F10,Real Estate,8276,14500,22776,N02,"Beer, Wine & Liquor",0,21000,21000,M01,Air Transport,860,19800,20660,K01,Lawyers/Law Firms,19165,1000,20165,D03,Misc Defense,160,20000,20160,H01,Health Professionals,6050,14000,20050,P01,Building Trade Unions,0,17500,17500
72,Bob Casey,N00027503,2020,03/22/2021,K01,Lawyers/Law Firms,4448241,184444,4632685,W06,Retired,2122668,0,2122668,F07,Securities & Investment,1251481,141100,1392581,W04,Education,1214051,4500,1218551,F10,Real Estate,1036605,60900,1097505,H01,Health Professionals,764745,194950,959695,H04,Pharmaceuticals/Health Products,427644,406352,833996,K02,Lobbyists,739862,12436,752298,F09,Insurance,313429,221250,534679,Q02,Democratic/Liberal,498951,16709,515660
73,Bill Cassidy,N00030245,2020,03/22/2021,H01,Health Professionals,796605,325189,1121794,W06,Retired,747247,0,747247,F07,Securities & Investment,652841,66300,719141,E01,Oil & Gas,348012,260100,608112,Q03,Leadership PACs,24217,481532,505749,F10,Real Estate,459329,32500,491829,H04,Pharmaceuticals/Health Products,127722,330150,457872,H03,Health Services/HMOs,249680,181500,431180,K01,Lawyers/Law Firms,296640,134250,430890,H02,Hospitals/Nursing Homes,269024,92600,361624
74,Sean Casten,N00041338,2020,03/22/2021,W06,Retired,473861,0,473861,Q02,Democratic/Liberal,362606,57021,419627,W04,Education,297230,2000,299230,K01,Lawyers/Law Firms,264774,20500,285274,F07,Securities & Investment,203199,70000,273199,Q03,Leadership PACs,2000,182061,184061,F10,Real Estate,105158,42500,147658,F09,Insurance,38403,81500,119903,H01,Health Professionals,108893,7000,115893,N05,Business Services,91840,0,91840
75,Kathy Castor,N00027514,2020,03/22/2021,H01,Health Professionals,6918,85500,92418,Q10,Misc Issues,69000,3000,72000,K01,Lawyers/Law Firms,32383,13750,46133,F09,Insurance,3385,32500,35885,B09,Telecom Services,1505,31500,33005,W06,Retired,30635,0,30635,H02,Hospitals/Nursing Homes,2170,24500,26670,B02,TV/Movies/Music,2825,22500,25325,F10,Real Estate,10630,14500,25130,P04,Public Sector Unions,0,23000,23000
76,Joaquin Castro,N00033316,2020,03/22/2021,K01,Lawyers/Law Firms,46842,10000,56842,W06,Retired,49659,0,49659,P04,Public Sector Unions,55,48000,48055,P01,Building Trade Unions,3,45500,45503,P02,Industrial Unions,30,38500,38530,W02,Non-Profit Institutions,25706,0,25706,Q02,Democratic/Liberal,14721,6000,20721,F10,Real Estate,7115,12000,19115,P05,Misc Unions,5298,13000,18298,P03,Transportation Unions,0,18000,18000
77,Steve Chabot,N00003689,2020,03/22/2021,W06,Retired,340527,0,340527,Q03,Leadership PACs,6813,328800,335613,Q16,Candidate Committees,8188,142000,150188,F10,Real Estate,108275,19500,127775,F09,Insurance,61368,60500,121868,Q01,Republican/Conservative,93943,17500,111443,K01,Lawyers/Law Firms,80936,20750,101686,N15,Misc Manufacturing & Distributing,55315,32000,87315,F07,Securities & Investment,58573,15500,74073,H01,Health Professionals,53442,19500,72942
78,Liz Cheney,N00035504,2020,03/22/2021,W06,Retired,315490,0,315490,F07,Securities & Investment,258785,50000,308785,F10,Real Estate,137007,44000,181007,E01,Oil & Gas,46692,113000,159692,K01,Lawyers/Law Firms,88593,44050,132643,K02,Lobbyists,98050,0,98050,E08,Electric Utilities,5748,72000,77748,H04,Pharmaceuticals/Health Products,7670,68000,75670,Q01,Republican/Conservative,66681,5000,71681,F09,Insurance,9392,61500,70892
79,Judy Chu,N00030600,2020,03/22/2021,H01,Health Professionals,53851,67025,120876,F10,Real Estate,48991,27000,75991,K01,Lawyers/Law Firms,56782,15000,71782,F09,Insurance,6615,54025,60640,Q09,Human Rights,44052,11675,55727,W04,Education,54849,0,54849,P04,Public Sector Unions,0,50250,50250,W06,Retired,47517,0,47517,Q02,Democratic/Liberal,38767,5001,43768,P01,Building Trade Unions,0,34000,34000
80,David Cicilline,N00032019,2020,03/22/2021,W06,Retired,123103,0,123103,K01,Lawyers/Law Firms,66183,19750,85933,Q09,Human Rights,56371,18851,75222,F10,Real Estate,54327,10000,64327,P01,Building Trade Unions,0,50000,50000,B02,TV/Movies/Music,36493,12750,49243,P04,Public Sector Unions,1751,43000,44751,F07,Securities & Investment,42313,0,42313,P03,Transportation Unions,0,39500,39500,K02,Lobbyists,37911,1500,39411
81,Gil Cisneros,N00041464,2020,03/22/2021,Q03,Leadership PACs,24132,334752,358884,W06,Retired,305933,0,305933,Q02,Democratic/Liberal,165135,62368,227503,F07,Securities & Investment,155468,0,155468,Q16,Candidate Committees,3875,150335,154210,K01,Lawyers/Law Firms,141424,11000,152424,F10,Real Estate,123735,10000,133735,H01,Health Professionals,75713,45000,120713,W04,Education,115122,0,115122,B02,TV/Movies/Music,92159,2000,94159
82,Katherine Clark,N00035278,2020,03/22/2021,H04,Pharmaceuticals/Health Products,18965,108500,127465,F07,Securities & Investment,88640,33950,122590,F10,Real Estate,78346,33000,111346,W06,Retired,96967,0,96967,K01,Lawyers/Law Firms,59132,35125,94257,F09,Insurance,9835,66000,75835,Q02,Democratic/Liberal,62998,1,62999,H01,Health Professionals,13929,43500,57429,K02,Lobbyists,55350,1000,56350,P01,Building Trade Unions,0,55000,55000
83,Yvette D Clarke,N00026961,2020,03/22/2021,Q03,Leadership PACs,4500,111756,116256,H01,Health Professionals,8528,84750,93278,B09,Telecom Services,6100,55400,61500,Q16,Candidate Committees,1877,47500,49377,H04,Pharmaceuticals/Health Products,3075,44000,47075,P04,Public Sector Unions,0,45000,45000,K01,Lawyers/Law Firms,10495,30250,40745,B02,TV/Movies/Music,12139,27750,39889,E08,Electric Utilities,1,33500,33501,Q02,Democratic/Liberal,11045,19800,30845
84,William L Clay Jr.,N00012460,2020,03/22/2021,F09,Insurance,3615,136500,140115,F10,Real Estate,27750,56500,84250,F03,Commercial Banks,500,56000,56500,F07,Securities & Investment,15750,36500,52250,K01,Lawyers/Law Firms,28360,17500,45860,P04,Public Sector Unions,15,42500,42515,P01,Building Trade Unions,0,29000,29000,Q03,Leadership PACs,4000,24000,28000,K02,Lobbyists,25200,0,25200,F13,Misc Finance,250,24500,24750
85,Emanuel Cleaver,N00026790,2020,03/22/2021,F09,Insurance,2790,209000,211790,F07,Securities & Investment,11600,94000,105600,F10,Real Estate,36854,59500,96354,F03,Commercial Banks,3050,82000,85050,K01,Lawyers/Law Firms,38830,30250,69080,P01,Building Trade Unions,275,50500,50775,F11,Accountants,3800,43000,46800,P04,Public Sector Unions,0,45500,45500,P02,Industrial Unions,250,44000,44250,W06,Retired,43879,0,43879
86,Ben Cline,N00042296,2020,03/22/2021,W06,Retired,84831,0,84831,Q01,Republican/Conservative,57521,11000,68521,Q03,Leadership PACs,0,32000,32000,F10,Real Estate,24730,7000,31730,K01,Lawyers/Law Firms,22285,7750,30035,B09,Telecom Services,250,28500,28750,B12,Electronics Mfg & Equip,3276,23500,26776,M02,Automotive,7402,16000,23402,B02,TV/Movies/Music,5500,17500,23000,A09,Food Processing & Sales,10601,11250,21851
87,Michael Cloud,N00041882,2020,03/22/2021,W06,Retired,69193,0,69193,H01,Health Professionals,49944,1000,50944,F10,Real Estate,38426,6000,44426,C01,General Contractors,40945,3000,43945,E01,Oil & Gas,13103,30300,43403,Q01,Republican/Conservative,26522,11500,38022,Q03,Leadership PACs,0,34300,34300,A06,Livestock,28824,4500,33324,K01,Lawyers/Law Firms,29912,3000,32912,A01,Crop Production & Basic Processing,5000,27500,32500
88,James E Clyburn,N00002408,2020,03/22/2021,K01,Lawyers/Law Firms,178187,65000,243187,F09,Insurance,45622,142750,188372,H01,Health Professionals,53593,115500,169093,H04,Pharmaceuticals/Health Products,16573,117000,133573,W06,Retired,131165,0,131165,E08,Electric Utilities,3427,127500,130927,F07,Securities & Investment,53228,77500,130728,K02,Lobbyists,108699,2500,111199,F10,Real Estate,46621,59500,106121,B12,Electronics Mfg & Equip,14437,79000,93437
89,Steve Cohen,N00003225,2020,03/22/2021,P02,Industrial Unions,0,45000,45000,P03,Transportation Unions,0,42500,42500,P04,Public Sector Unions,0,36500,36500,F10,Real Estate,26200,9000,35200,M02,Automotive,6500,26500,33000,K01,Lawyers/Law Firms,13925,19000,32925,M01,Air Transport,3500,26000,29500,A01,Crop Production & Basic Processing,1500,21000,22500,M04,Railroads,0,21500,21500,P05,Misc Unions,0,14000,14000
90,Tom Cole,N00025726,2020,03/22/2021,Q09,Human Rights,174250,17400,191650,E01,Oil & Gas,45000,82000,127000,W06,Retired,87450,0,87450,H01,Health Professionals,1000,66300,67300,K02,Lobbyists,56850,500,57350,Q03,Leadership PACs,0,56750,56750,E08,Electric Utilities,500,54500,55000,D03,Misc Defense,5600,49000,54600,H02,Hospitals/Nursing Homes,32400,22000,54400,K01,Lawyers/Law Firms,29800,20250,50050
91,Bonnie Watson Coleman,N00036158,2020,03/22/2021,H04,Pharmaceuticals/Health Products,8305,64500,72805,P04,Public Sector Unions,625,50000,50625,P01,Building Trade Unions,87,40800,40887,P03,Transportation Unions,0,40000,40000,P02,Industrial Unions,561,37500,38061,W06,Retired,38040,0,38040,P05,Misc Unions,7500,24600,32100,H01,Health Professionals,11104,19500,30604,Q03,Leadership PACs,0,28500,28500,W04,Education,27816,0,27816
92,Chris Collins,N00001285,2020,03/22/2021,Q01,Republican/Conservative,1300,6000,7300,W06,Retired,3565,0,3565,Q03,Leadership PACs,0,2500,2500,Q10,Misc Issues,0,1000,1000,Q16,Candidate Committees,0,1000,1000,C01,General Contractors,1000,0,1000,H01,Health Professionals,1000,0,1000,K01,Lawyers/Law Firms,0,1000,1000,W03,Civil Servants/Public Officials,465,0,465,C03,Special Trade Contractors,250,0,250
93,Doug Collins,N00033518,2020,03/22/2021,W06,Retired,1047775,0,1047775,Q01,Republican/Conservative,436477,21250,457727,F10,Real Estate,206784,9500,216284,K01,Lawyers/Law Firms,154338,36000,190338,A01,Crop Production & Basic Processing,132968,12500,145468,B02,TV/Movies/Music,39537,65500,105037,H01,Health Professionals,83291,20000,103291,Q03,Leadership PACs,0,102300,102300,F13,Misc Finance,87706,6000,93706,N15,Misc Manufacturing & Distributing,79366,11500,90866
94,Susan Collins,N00000491,2020,03/22/2021,W06,Retired,6562295,0,6562295,F07,Securities & Investment,1621573,90500,1712073,F10,Real Estate,1091427,65250,1156677,K01,Lawyers/Law Firms,695172,124100,819272,H01,Health Professionals,342578,242550,585128,F09,Insurance,308819,273600,582419,Q03,Leadership PACs,5500,567000,572500,F13,Misc Finance,443894,38500,482394,Q01,Republican/Conservative,394765,58250,453015,E01,Oil & Gas,250799,126700,377499
95,James Comer,N00038260,2020,03/22/2021,A01,Crop Production & Basic Processing,27025,41000,68025,A07,Agricultural Services/Products,5750,30500,36250,Q03,Leadership PACs,0,35000,35000,M02,Automotive,9200,24000,33200,F10,Real Estate,20098,8000,28098,K01,Lawyers/Law Firms,15000,9000,24000,H01,Health Professionals,2350,21500,23850,K02,Lobbyists,22650,0,22650,C04,Construction Services,5000,15000,20000,C01,General Contractors,15025,3500,18525
96,Mike Conaway,N00026041,2020,03/22/2021,W06,Retired,36084,0,36084,E01,Oil & Gas,12500,21000,33500,A07,Agricultural Services/Products,200,32000,32200,A06,Livestock,11450,12500,23950,A01,Crop Production & Basic Processing,3350,18000,21350,N03,Retail Sales,250,17500,17750,F03,Commercial Banks,2100,15000,17100,D01,Defense Aerospace,0,12500,12500,K02,Lobbyists,11800,0,11800,A04,Dairy,0,10500,10500
97,Gerry Connolly,N00029891,2020,03/22/2021,W06,Retired,139038,0,139038,B12,Electronics Mfg & Equip,35895,86000,121895,P04,Public Sector Unions,804,115500,116304,K01,Lawyers/Law Firms,62893,36250,99143,F10,Real Estate,60501,18000,78501,Q02,Democratic/Liberal,72673,3500,76173,D03,Misc Defense,13570,46000,59570,N05,Business Services,53456,2500,55956,W03,Civil Servants/Public Officials,48476,0,48476,F11,Accountants,6375,38500,44875
98,Paul Cook,N00034224,2020,03/22/2021,N07,Casinos/Gambling,43200,0,43200,P03,Transportation Unions,0,25500,25500,P01,Building Trade Unions,0,20000,20000,D01,Defense Aerospace,500,17500,18000,C05,Building Materials & Equipment,1000,15000,16000,K02,Lobbyists,14800,0,14800,F10,Real Estate,10953,1000,11953,P04,Public Sector Unions,0,11500,11500,W06,Retired,10600,0,10600,E10,Waste Management,10600,0,10600
99,Chris Coons,N00031820,2020,03/22/2021,K01,Lawyers/Law Firms,732587,127750,860337,F07,Securities & Investment,605038,101000,706038,F10,Real Estate,258140,55000,313140,Q03,Leadership PACs,5025,299600,304625,H04,Pharmaceuticals/Health Products,72901,213300,286201,W06,Retired,271635,0,271635,B12,Electronics Mfg & Equip,75558,119000,194558,B02,TV/Movies/Music,114569,77500,192069,K02,Lobbyists,160955,6000,166955,F09,Insurance,33858,130800,164658
100,Jim Cooper,N00003132,2020,03/22/2021,W06,Retired,78101,0,78101,K01,Lawyers/Law Firms,55385,11500,66885,F10,Real Estate,40800,15000,55800,Q02,Democratic/Liberal,39075,12000,51075,N02,"Beer, Wine & Liquor",25700,20154,45854,D01,Defense Aerospace,2800,39000,41800,D02,Defense Electronics,500,36000,36500,H02,Hospitals/Nursing Homes,18450,8000,26450,F07,Securities & Investment,14200,11000,25200,W04,Education,23800,0,23800
101,John Cornyn,N00024852,2020,03/22/2021,W06,Retired,5995336,0,5995336,Q01,Republican/Conservative,2344460,21600,2366060,F07,Securities & Investment,1521249,153250,1674499,F10,Real Estate,1445996,84500,1530496,E01,Oil & Gas,1132126,288600,1420726,K01,Lawyers/Law Firms,1119649,148388,1268037,H01,Health Professionals,762725,150403,913128,F13,Misc Finance,815076,67700,882776,F09,Insurance,399151,275000,674151,Q03,Leadership PACs,35167,490300,525467
102,Lou Correa,N00037260,2020,03/22/2021,H04,Pharmaceuticals/Health Products,23125,75000,98125,K01,Lawyers/Law Firms,54310,21500,75810,F09,Insurance,24100,50500,74600,F10,Real Estate,41075,33332,74407,H01,Health Professionals,9150,45500,54650,E01,Oil & Gas,3350,44000,47350,N03,Retail Sales,900,38500,39400,W06,Retired,38113,0,38113,N08,Lodging/Tourism,6171,30500,36671,Q02,Democratic/Liberal,21250,12500,33750
103,Jim Costa,N00026341,2020,03/22/2021,A01,Crop Production & Basic Processing,100099,125350,225449,A07,Agricultural Services/Products,350,101000,101350,H01,Health Professionals,77200,13500,90700,E01,Oil & Gas,500,87500,88000,Q10,Misc Issues,70055,7000,77055,Q03,Leadership PACs,0,73050,73050,F10,Real Estate,53800,16000,69800,K01,Lawyers/Law Firms,50994,10000,60994,W06,Retired,57970,0,57970,A09,Food Processing & Sales,12200,43500,55700
104,Tom Cotton,N00033363,2020,03/22/2021,W06,Retired,2477898,0,2477898,F07,Securities & Investment,1101330,119700,1221030,Q01,Republican/Conservative,879349,41800,921149,F10,Real Estate,569806,41500,611306,K01,Lawyers/Law Firms,338771,54000,392771,Q03,Leadership PACs,8500,382500,391000,F13,Misc Finance,335331,33500,368831,H01,Health Professionals,287298,19000,306298,F03,Commercial Banks,137761,140250,278011,E01,Oil & Gas,199490,62000,261490
105,Joe Courtney,N00024842,2020,03/22/2021,D03,Misc Defense,31605,43000,74605,F09,Insurance,3375,51000,54375,D01,Defense Aerospace,1525,50500,52025,P01,Building Trade Unions,0,50000,50000,P04,Public Sector Unions,0,46000,46000,P03,Transportation Unions,0,45500,45500,W06,Retired,42752,0,42752,P02,Industrial Unions,0,37500,37500,H01,Health Professionals,6386,29000,35386,K01,Lawyers/Law Firms,18375,13000,31375
106,TJ Cox,N00028122,2020,03/22/2021,W06,Retired,593455,0,593455,Q02,Democratic/Liberal,509354,61200,570554,F07,Securities & Investment,425306,1000,426306,Q03,Leadership PACs,22083,368202,390285,K01,Lawyers/Law Firms,364001,11500,375501,W04,Education,267649,0,267649,Q09,Human Rights,165834,63052,228886,F10,Real Estate,196913,10000,206913,H01,Health Professionals,178932,13500,192432,Q16,Candidate Committees,5875,170701,176576
107,Angie Craig,N00037039,2020,03/22/2021,W06,Retired,532736,0,532736,Q02,Democratic/Liberal,310942,78573,389515,Q03,Leadership PACs,24400,264210,288610,F07,Securities & Investment,205533,19000,224533,W04,Education,210936,0,210936,K01,Lawyers/Law Firms,185264,24750,210014,Q08,Women's Issues,128421,40500,168921,F10,Real Estate,127309,16500,143809,H01,Health Professionals,80082,43500,123582,N05,Business Services,118488,0,118488
108,Kevin Cramer,N00004614,2020,03/22/2021,F07,Securities & Investment,465357,27500,492857,W06,Retired,480895,0,480895,E01,Oil & Gas,389325,82200,471525,Q03,Leadership PACs,0,271000,271000,F10,Real Estate,203389,2000,205389,A01,Crop Production & Basic Processing,125979,37500,163479,N15,Misc Manufacturing & Distributing,125973,1000,126973,E04,Mining,83608,38000,121608,F03,Commercial Banks,83749,36938,120687,Q01,Republican/Conservative,80384,34500,114884
109,Mike Crapo,N00006267,2020,03/22/2021,F07,Securities & Investment,677650,363900,1041550,F09,Insurance,200600,455200,655800,F03,Commercial Banks,154700,291700,446400,F10,Real Estate,302076,143910,445986,Q03,Leadership PACs,0,402100,402100,K02,Lobbyists,384785,1500,386285,H04,Pharmaceuticals/Health Products,112900,249521,362421,F13,Misc Finance,181817,91500,273317,K01,Lawyers/Law Firms,137959,93350,231309,F06,Finance/Credit Companies,58800,162200,221000
110,Rick Crawford,N00030770,2020,03/22/2021,A01,Crop Production & Basic Processing,94763,63500,158263,A07,Agricultural Services/Products,2700,64000,66700,M04,Railroads,1000,47500,48500,M01,Air Transport,3000,35500,38500,N14,Steel Production,2850,33000,35850,W06,Retired,34881,0,34881,E01,Oil & Gas,5600,29000,34600,H01,Health Professionals,22525,4500,27025,F03,Commercial Banks,7750,19000,26750,Q03,Leadership PACs,0,21000,21000
111,Dan Crenshaw,N00042224,2020,03/22/2021,W06,Retired,2628577,0,2628577,Q01,Republican/Conservative,1493179,21250,1514429,F10,Real Estate,644465,30000,674465,E01,Oil & Gas,314922,141300,456222,F07,Securities & Investment,323692,11500,335192,K01,Lawyers/Law Firms,221158,22000,243158,H01,Health Professionals,204138,33000,237138,F13,Misc Finance,187898,1000,188898,F09,Insurance,84351,42500,126851,W04,Education,121091,0,121091
112,Charlie Crist,N00002942,2020,03/22/2021,K01,Lawyers/Law Firms,241029,13500,254529,F10,Real Estate,176847,12500,189347,W06,Retired,146244,0,146244,F07,Securities & Investment,123093,16000,139093,Q02,Democratic/Liberal,119759,15000,134759,D03,Misc Defense,27860,45250,73110,K02,Lobbyists,67781,500,68281,H01,Health Professionals,53296,8000,61296,N02,"Beer, Wine & Liquor",49042,9146,58188,F13,Misc Finance,55950,1000,56950
113,Jason Crow,N00040876,2020,03/22/2021,W06,Retired,568168,0,568168,K01,Lawyers/Law Firms,371465,23278,394743,Q02,Democratic/Liberal,216876,47500,264376,Q03,Leadership PACs,20800,213802,234602,F10,Real Estate,173275,9000,182275,F07,Securities & Investment,162964,1000,163964,W04,Education,132235,0,132235,B02,TV/Movies/Music,94257,0,94257,Q16,Candidate Committees,2000,92203,94203,W02,Non-Profit Institutions,79987,0,79987
114,Ted Cruz,N00033085,2020,03/22/2021,W06,Retired,8433721,0,8433721,Q01,Republican/Conservative,4509917,40774,4550691,F10,Real Estate,1683385,10000,1693385,E01,Oil & Gas,1258497,134800,1393297,K01,Lawyers/Law Firms,1167150,33500,1200650,H01,Health Professionals,1114779,41150,1155929,F07,Securities & Investment,1074905,13500,1088405,F13,Misc Finance,908169,26500,934669,N05,Business Services,552555,15000,567555,N12,Misc Business,549428,17500,566928
115,Henry Cuellar,N00024978,2020,03/22/2021,E01,Oil & Gas,20782,199000,219782,K01,Lawyers/Law Firms,81983,36500,118483,H01,Health Professionals,40449,45500,85949,M02,Automotive,3005,62490,65495,F10,Real Estate,41830,23500,65330,N12,Misc Business,45706,18200,63906,N15,Misc Manufacturing & Distributing,8350,53000,61350,Q05,Pro-Israel,44450,13500,57950,A01,Crop Production & Basic Processing,10075,46000,56075,K02,Lobbyists,53480,2500,55980
116,Elijah E Cummings,N00001971,2020,03/22/2021,K01,Lawyers/Law Firms,95559,24800,120359,W06,Retired,72349,0,72349,P04,Public Sector Unions,25,46200,46225,P03,Transportation Unions,50,30500,30550,W04,Education,29576,0,29576,K02,Lobbyists,24781,1500,26281,F10,Real Estate,18223,6500,24723,H01,Health Professionals,18494,6200,24694,M05,Sea Transport,7205,16000,23205,F07,Securities & Investment,14886,6000,20886
117,Joe Cunningham,N00041400,2020,03/22/2021,W06,Retired,982119,0,982119,K01,Lawyers/Law Firms,885419,0,885419,Q02,Democratic/Liberal,530074,0,530074,F07,Securities & Investment,366319,0,366319,W04,Education,278861,0,278861,F10,Real Estate,267552,0,267552,Q16,Candidate Committees,4000,191701,195701,Q09,Human Rights,166321,2500,168821,N05,Business Services,146682,0,146682,H01,Health Professionals,143120,0,143120
118,John Curtis,N00041221,2020,03/22/2021,H04,Pharmaceuticals/Health Products,31300,42881,74181,E01,Oil & Gas,0,48000,48000,B09,Telecom Services,2000,41500,43500,Q03,Leadership PACs,0,38000,38000,B12,Electronics Mfg & Equip,23600,12250,35850,E08,Electric Utilities,0,33000,33000,N03,Retail Sales,12200,19500,31700,F10,Real Estate,18950,10000,28950,W06,Retired,27597,0,27597,K02,Lobbyists,26000,1086,27086
119,Steven Daines,N00033054,2020,03/22/2021,W06,Retired,8025022,0,8025022,Q01,Republican/Conservative,3425744,94100,3519844,F10,Real Estate,1218221,88500,1306721,F07,Securities & Investment,1001362,137000,1138362,H01,Health Professionals,472428,132000,604428,E01,Oil & Gas,356069,246500,602569,Q03,Leadership PACs,567,599764,600331,K01,Lawyers/Law Firms,423184,80750,503934,F09,Insurance,201068,260800,461868,C01,General Contractors,396979,15000,411979
120,Sharice Davids,N00042626,2020,03/22/2021,W06,Retired,398719,0,398719,Q02,Democratic/Liberal,314506,73300,387806,Q09,Human Rights,309342,54800,364142,K01,Lawyers/Law Firms,275630,25000,300630,Q03,Leadership PACs,24300,242101,266401,F07,Securities & Investment,220556,16300,236856,W04,Education,186792,0,186792,Q08,Women's Issues,107887,22500,130387,Q16,Candidate Committees,1000,121088,122088,F10,Real Estate,102676,18000,120676
121,Warren Davidson,N00038767,2020,03/22/2021,F09,Insurance,12056,75000,87056,F07,Securities & Investment,9126,76750,85876,W06,Retired,73581,0,73581,F03,Commercial Banks,719,59000,59719,F10,Real Estate,9999,35000,44999,F11,Accountants,3255,40000,43255,Q03,Leadership PACs,0,40500,40500,K01,Lawyers/Law Firms,18304,19000,37304,Q01,Republican/Conservative,15385,14500,29885,K02,Lobbyists,21468,4300,25768
122,Danny K Davis,N00004884,2020,03/22/2021,F09,Insurance,260,51020,51280,P04,Public Sector Unions,0,40000,40000,F07,Securities & Investment,650,28000,28650,F10,Real Estate,1,28000,28001,E08,Electric Utilities,1,27000,27001,P02,Industrial Unions,0,26500,26500,H01,Health Professionals,2000,22500,24500,N01,Food & Beverage,0,23500,23500,N02,"Beer, Wine & Liquor",0,23000,23000,H04,Pharmaceuticals/Health Products,0,22500,22500
